merged_station_id,station_key,name,name_local,station_uid,osm_id,ref,wikidata,operator,network,railway,public_transport,lat,lon
merge::name::abiko,name::abiko,Abiko,あびこ,node::534122750,node/534122750,M27,,Osaka Metro,御堂筋線,stop,stop_position,34.5990799,135.5127578
merge::name::abiko,name::abiko,Abiko,あびこ,node::7811929079,node/7811929079,M27,,Osaka Metro,御堂筋線,stop,stop_position,34.5990834,135.5128122
merge::name::asashiobashi,name::asashiobashi,Asashiobashi,朝潮橋,node::1455848417,node/1455848417,C12,,,,stop,stop_position,34.6608536,135.4488366
merge::name::asashiobashi,name::asashiobashi,Asashiobashi,朝潮橋,node::537520677,node/537520677,C12,,,,stop,stop_position,34.66087,135.448799
merge::name::awaza,name::awaza,Awaza,阿波座,node::12731300594,node/12731300594,S13,,,,stop,stop_position,34.6816405,135.4862832
merge::name::awaza,name::awaza,Awaza,阿波座,node::538715685,node/538715685,S13,,,,stop,stop_position,34.6816242,135.4862184
merge::name::daido-toyosato,name::daido-toyosato,Daido-Toyosato,だいどう豊里,node::12508282371,node/12508282371,,,Osaka Metro,,stop,stop_position,34.7439168,135.5445246
merge::name::daido-toyosato,name::daido-toyosato,Daido-Toyosato,だいどう豊里,node::538724639,node/538724639,,,Osaka Metro,,stop,stop_position,34.7439496,135.5445589
merge::name::daikokucho,name::daikokucho,Daikokucho,大国町,node::537510090,node/537510090,Y16,,Osaka Metro,,stop,stop_position,34.6562417,135.4978977
merge::name::daikokucho,name::daikokucho,Daikokucho,大国町,node::7811929023,node/7811929023,M21,,Osaka Metro,,stop,stop_position,34.6562418,135.4979568
merge::name::daikokucho,name::daikokucho,Daikokucho,大国町,node::7811945103,node/7811945103,M21,,Osaka Metro,,stop,stop_position,34.6562413,135.4977793
merge::name::daikokucho,name::daikokucho,Daikokucho,大国町,node::8005455801,node/8005455801,Y16,,Osaka Metro,,stop,stop_position,34.6562415,135.4978373
merge::name::esaka,name::esaka,Esaka,江坂,node::7397873166,node/7397873166,M11,,,,stop,stop_position,34.7588638,135.4971624
merge::name::esaka,name::esaka,Esaka,江坂,node::7397873167,node/7397873167,M11,,,,stop,stop_position,34.7588648,135.4970353
merge::name::imazato,name::imazato,Imazato,今里,node::12731312864,node/12731312864,S20,,Osaka Metro,,stop,stop_position,34.6687376,135.544007
merge::name::imazato,name::imazato,Imazato,今里,node::538715763,node/538715763,S20,,Osaka Metro,,stop,stop_position,34.6686947,135.5439907
merge::name::itakano,name::itakano,Itakano,井高野,node::12508282358,node/12508282358,,,Osaka Metro,,stop,stop_position,34.7600039,135.5472368
merge::name::itakano,name::itakano,Itakano,井高野,node::538724663,node/538724663,,,Osaka Metro,,stop,stop_position,34.7600012,135.5472837
merge::name::kita-hanada,name::kita-hanada,Kita-Hanada,北花田,node::534130395,node/534130395,M28,,Osaka Metro,,stop,stop_position,34.5822808,135.5163859
merge::name::kita-hanada,name::kita-hanada,Kita-Hanada,北花田,node::7811944999,node/7811944999,M28,,Osaka Metro,,stop,stop_position,34.5822821,135.5164364
merge::name::kita-tatsumi,name::kita-tatsumi,Kita-Tatsumi,北巽,node::12731312897,node/12731312897,S23,,,,stop,stop_position,34.6535005,135.5550657
merge::name::kita-tatsumi,name::kita-tatsumi,Kita-Tatsumi,北巽,node::538715764,node/538715764,S23,,,,stop,stop_position,34.653507,135.5550118
merge::name::minoh-kayano,name::minoh-kayano,Minoh-kayano,箕面萱野,node::11754833255,node/11754833255,,,,,stop,stop_position,34.8313732,135.4889956
merge::name::minoh-kayano,name::minoh-kayano,Minoh-kayano,箕面萱野,node::11754833256,node/11754833256,,,,,stop,stop_position,34.8313768,135.4891286
merge::name::minoh-semba handai-mae,name::minoh-semba handai-mae,Minoh-semba handai-mae,箕面船場阪大前,node::10819025488,node/10819025488,,,,,stop,stop_position,34.821804,135.4901777
merge::name::minoh-semba handai-mae,name::minoh-semba handai-mae,Minoh-semba handai-mae,箕面船場阪大前,node::5599894640,node/5599894640,,,,,stop,stop_position,34.8218342,135.4902827
merge::name::nagai,name::nagai,Nagai,長居,node::534131683,node/534131683,M26,,Osaka Metro,,stop,stop_position,34.6090185,135.5136618
merge::name::nagai,name::nagai,Nagai,長居,node::7811929071,node/7811929071,M26,,Osaka Metro,,stop,stop_position,34.6090138,135.5137176
merge::name::nakafuto,name::nakafuto,Nakafuto,中ふ頭,node::8729045244,node/8729045244,P11,,Osaka Metro,Osaka Metro,stop,stop_position,34.6340615,135.4174807
merge::name::nakafuto,name::nakafuto,Nakafuto,中ふ頭,node::8729045245,node/8729045245,P11,,Osaka Metro,Osaka Metro,stop,stop_position,34.6340165,135.4173988
merge::name::nakamozu,name::nakamozu,Nakamozu,なかもず,node::534121583,node/534121583,M30,,Osaka Metro,,stop,stop_position,34.5563183,135.5062171
merge::name::nakamozu,name::nakamozu,Nakamozu,なかもず,node::7811945026,node/7811945026,M30,,Osaka Metro,,stop,stop_position,34.5562904,135.5062575
merge::name::namba,name::namba,Namba,なんば,node::12731312827,node/12731312827,S16,,Osaka Metro,,stop,stop_position,34.6673048,135.499725
merge::name::namba,name::namba,Namba,なんば,node::538714967,node/538714967,S16,,Osaka Metro,大阪市営地下鉄千日前線,stop,stop_position,34.6671933,135.4997165
merge::name::nippombashi,name::nippombashi,Nippombashi,日本橋,node::12731312831,node/12731312831,S17,,,,stop,stop_position,34.6671823,135.5064158
merge::name::nippombashi,name::nippombashi,Nippombashi,日本橋,node::538715048,node/538715048,S17,,,,stop,stop_position,34.6670786,135.5064058
merge::name::nishi-nagahori,name::nishi-nagahori,Nishi-Nagahori,西長堀,node::12731312803,node/12731312803,S14,,,,stop,stop_position,34.6738961,135.4870355
merge::name::nishi-nagahori,name::nishi-nagahori,Nishi-Nagahori,西長堀,node::538715691,node/538715691,S14,,,,stop,stop_position,34.6738921,135.4869799
merge::name::nishi-tanabe,name::nishi-tanabe,Nishi-Tanabe,西田辺,node::534131313,node/534131313,M25,,Osaka Metro,,stop,stop_position,34.6215571,135.5151276
merge::name::nishi-tanabe,name::nishi-tanabe,Nishi-Tanabe,西田辺,node::7811929062,node/7811929062,M25,,Osaka Metro,,stop,stop_position,34.6215517,135.5151872
merge::name::nodahanshin,name::nodahanshin,Nodahanshin,野田阪神,node::12731300570,node/12731300570,S11,,,,stop,stop_position,34.6943695,135.4748985
merge::name::nodahanshin,name::nodahanshin,Nodahanshin,野田阪神,node::538715683,node/538715683,S11,,,,stop,stop_position,34.694371,135.4748438
merge::name::sakuragawa,name::sakuragawa,Sakuragawa,桜川,node::12731312819,node/12731312819,S15,,,,stop,stop_position,34.6683295,135.4902676
merge::name::sakuragawa,name::sakuragawa,Sakuragawa,桜川,node::538714962,node/538714962,S15,,,,stop,stop_position,34.6682826,135.4902618
merge::name::sekime-seiiku,name::sekime-seiiku,Sekime-Seiiku,関目成育,node::12508282308,node/12508282308,,,Osaka Metro,,stop,stop_position,34.7130898,135.5464176
merge::name::sekime-seiiku,name::sekime-seiiku,Sekime-Seiiku,関目成育,node::538724186,node/538724186,,,Osaka Metro,,stop,stop_position,34.7130989,135.546479
merge::name::shigino,name::shigino,Shigino,鴫野,node::12508256192,node/12508256192,,,Osaka Metro,,stop,stop_position,34.6930286,135.546139
merge::name::shigino,name::shigino,Shigino,鴫野,node::538724140,node/538724140,,,Osaka Metro,,stop,stop_position,34.6930234,135.5461967
merge::name::shimizu,name::shimizu,Shimizu,清水,node::12508282332,node/12508282332,,,Osaka Metro,,stop,stop_position,34.7222702,135.5607758
merge::name::shimizu,name::shimizu,Shimizu,清水,node::538724214,node/538724214,,,Osaka Metro,,stop,stop_position,34.7222675,135.5608359
merge::name::shimmori-furuichi,name::shimmori-furuichi,Shimmori-Furuichi,新森古市,node::12508256179,node/12508256179,,,Osaka Metro,,stop,stop_position,34.7152855,135.5583018
merge::name::shimmori-furuichi,name::shimmori-furuichi,Shimmori-Furuichi,新森古市,node::538724212,node/538724212,,,Osaka Metro,,stop,stop_position,34.7152361,135.5583012
merge::name::shin-fukae,name::shin-fukae,Shin-Fukae,新深江,node::12731312877,node/12731312877,S21,,,,stop,stop_position,34.6682059,135.5542946
merge::name::shin-fukae,name::shin-fukae,Shin-Fukae,新深江,node::538715786,node/538715786,S21,,,,stop,stop_position,34.6681632,135.5543001
merge::name::shin-kanaoka,name::shin-kanaoka,Shin-Kanaoka,新金岡,node::534130655,node/534130655,M29,,Osaka Metro,,stop,stop_position,34.5684912,135.5153348
merge::name::shin-kanaoka,name::shin-kanaoka,Shin-Kanaoka,新金岡,node::7811945009,node/7811945009,M29,,Osaka Metro,,stop,stop_position,34.5684803,135.5153965
merge::name::shin-osaka,name::shin-osaka,Shin-Osaka,新大阪,node::4800705875,node/4800705875,M13,,大阪市交通局,大阪市営地下鉄,stop,stop_position,34.7328996,135.4986181
merge::name::shin-osaka,name::shin-osaka,Shin-Osaka,新大阪,node::4800705876,node/4800705876,M13,,大阪市交通局,大阪市営地下鉄,stop,stop_position,34.7328914,135.498469
merge::name::shinsaibashi,name::shinsaibashi,Shinsaibashi,心斎橋,node::534133907,node/534133907,M19,,Osaka Metro,,stop,stop_position,34.6745168,135.500328
merge::name::shinsaibashi,name::shinsaibashi,Shinsaibashi,心斎橋,node::7811945072,node/7811945072,M19,,Osaka Metro,,stop,stop_position,34.6745178,135.5003852
merge::name::shoji,name::shoji,Shoji,小路,node::12731312892,node/12731312892,S22,,,,stop,stop_position,34.6614304,135.5563086
merge::name::shoji,name::shoji,Shoji,小路,node::538715769,node/538715769,S22,,,,stop,stop_position,34.661432,135.5562543
merge::name::showacho,name::showacho,Showacho,昭和町,node::534132242,node/534132242,M24,,Osaka Metro,,stop,stop_position,34.6331295,135.5168954
merge::name::showacho,name::showacho,Showacho,昭和町,node::7811929049,node/7811929049,M24,,Osaka Metro,,stop,stop_position,34.6331228,135.5169549
merge::name::tamagawa,name::tamagawa,Tamagawa,玉川,node::12731300577,node/12731300577,S12,,,,stop,stop_position,34.6895606,135.4762235
merge::name::tamagawa,name::tamagawa,Tamagawa,玉川,node::538715541,node/538715541,S12,,,,stop,stop_position,34.6895401,135.4761741
merge::name::tanimachi 9-chome,name::tanimachi 9-chome,Tanimachi 9-chome,谷町九丁目,node::12731312840,node/12731312840,S18,,,,stop,stop_position,34.6666275,135.5170079
merge::name::tanimachi 9-chome,name::tanimachi 9-chome,Tanimachi 9-chome,谷町九丁目,node::538714986,node/538714986,S18,,,,stop,stop_position,34.6664922,135.5169829
merge::name::tennoji,name::tennoji,Tennoji,天王寺,node::534132586,node/534132586,M23,,Osaka Metro,Osaka Metro御堂筋線,stop,stop_position,34.6460113,135.5152402
merge::name::tennoji,name::tennoji,Tennoji,天王寺,node::7811929027,node/7811929027,M23,,Osaka Metro,Osaka Metro御堂筋線,stop,stop_position,34.6460991,135.515278
merge::name::tsuruhashi,name::tsuruhashi,Tsuruhashi,鶴橋,node::12731312851,node/12731312851,S19,,,,stop,stop_position,34.6660004,135.5290604
merge::name::tsuruhashi,name::tsuruhashi,Tsuruhashi,鶴橋,node::538715743,node/538715743,S19,,,,stop,stop_position,34.6659535,135.5290573
merge::name::yumeshima,name::yumeshima,Yumeshima,夢洲,node::12517912680,node/12517912680,C09,,Osaka Metro,Osaka Metro,stop,stop_position,34.6529239,135.3905899
merge::name::yumeshima,name::yumeshima,Yumeshima,夢洲,node::12517912681,node/12517912681,C09,,Osaka Metro,Osaka Metro,stop,stop_position,34.6529931,135.3904761
merge::name::ōsakakō,name::ōsakakō,Ōsakakō,大阪港,node::5470490421,node/5470490421,C11,,,,stop,stop_position,34.6539654,135.4344007
merge::name::ōsakakō,name::ōsakakō,Ōsakakō,大阪港,node::5647131994,node/5647131994,C11,,,,stop,stop_position,34.6538844,135.4344367
merge::name::フェリーターミナル,name::フェリーターミナル,フェリーターミナル,フェリーターミナル,node::8729045329,node/8729045329,,,,,stop,stop_position,34.6192345,135.4349207
merge::name::フェリーターミナル,name::フェリーターミナル,フェリーターミナル,フェリーターミナル,node::8729045331,node/8729045331,,,,,stop,stop_position,34.6192668,135.4349956
merge::name::ポートタウン西,name::ポートタウン西,ポートタウン西,ポートタウン西,node::8729045270,node/8729045270,,,,,stop,stop_position,34.6309412,135.4228121
merge::name::ポートタウン西,name::ポートタウン西,ポートタウン西,ポートタウン西,node::8729045271,node/8729045271,,,,,stop,stop_position,34.6308666,135.422814
merge::name::南港口,name::南港口,南港口,南港口,node::8729045379,node/8729045379,,,,,stop,stop_position,34.6138536,135.4459391
merge::name::南港口,name::南港口,南港口,南港口,node::8729045380,node/8729045380,,,,,stop,stop_position,34.6137872,135.4459402
merge::name::南港東,name::南港東,南港東,南港東,node::8729045356,node/8729045356,,,,,stop,stop_position,34.6138619,135.4386311
merge::name::南港東,name::南港東,南港東,南港東,node::8729045364,node/8729045364,,,,,stop,stop_position,34.6137894,135.4386313
merge::name::平林,name::平林,平林,平林,node::8729045402,node/8729045402,,,,,stop,stop_position,34.6107003,135.4586323
merge::name::平林,name::平林,平林,平林,node::8729045410,node/8729045410,,,,,stop,stop_position,34.6106276,135.4586264
merge::wikidata::Q1038083,wikidata::Q1038083,Nagahoribashi,長堀橋,node::538718331,node/538718331,K16,Q1038083,,,stop,stop_position,34.6748575,135.506291
merge::wikidata::Q1038083,wikidata::Q1038083,Nagahoribashi,長堀橋,node::538721524,node/538721524,N16,Q1038083,Osaka Metro,,stop,stop_position,34.6752768,135.506437
merge::wikidata::Q1038083,wikidata::Q1038083,Nagahoribashi,長堀橋,node::7948009781,node/7948009781,N16,Q1038083,Osaka Metro,,stop,stop_position,34.6753201,135.5064405
merge::wikidata::Q1038083,wikidata::Q1038083,Nagahoribashi,長堀橋,node::8260808105,node/8260808105,K16,Q1038083,,,stop,stop_position,34.6748567,135.5063511
merge::wikidata::Q1038365,wikidata::Q1038365,Dobutsuen-mae,動物園前,node::534132524,node/534132524,M22,Q1038365,Osaka Metro,,stop,stop_position,34.6487647,135.5045366
merge::wikidata::Q1038365,wikidata::Q1038365,Dobutsuen-mae,動物園前,node::538718289,node/538718289,M22,Q1038365,,,stop,stop_position,34.6486679,135.5035212
merge::wikidata::Q1038365,wikidata::Q1038365,Dobutsuen-mae,動物園前,node::7811945096,node/7811945096,M22,Q1038365,Osaka Metro,,stop,stop_position,34.6488146,135.5045554
merge::wikidata::Q1038365,wikidata::Q1038365,Dobutsuen-mae,動物園前,node::8260808084,node/8260808084,M22,Q1038365,,,stop,stop_position,34.6486554,135.5035793
merge::wikidata::Q1039923,wikidata::Q1039923,Minami-Morimachi,南森町,node::1964006760,node/1964006760,,Q1039923,,,stop,stop_position,34.6976429,135.5111732
merge::wikidata::Q1039923,wikidata::Q1039923,Minami-morimachi;Minami-Morimachi,南森町,node::536381594,node/536381594,T21,Q1039923,Osaka Metro,,stop,stop_position,34.6975763,135.5109758
merge::wikidata::Q1039923,wikidata::Q1039923,Minami-Morimachi,南森町,node::8256784380,node/8256784380,,Q1039923,,,stop,stop_position,34.697555,135.511164
merge::wikidata::Q1039923,wikidata::Q1039923,Minami-morimachi;Minami-Morimachi,南森町,node::8260835833,node/8260835833,T21,Q1039923,Osaka Metro,,stop,stop_position,34.6975768,135.5110359
merge::wikidata::Q1040630,wikidata::Q1040630,Nippombashi,日本橋,node::538718325,node/538718325,,Q1040630,,,stop,stop_position,34.6667194,135.5061213
merge::wikidata::Q1040630,wikidata::Q1040630,Nippombashi,日本橋,node::8260808100,node/8260808100,,Q1040630,,,stop,stop_position,34.6667178,135.5061814
merge::wikidata::Q1041967,wikidata::Q1041967,Tanimachi 6-chome,谷町六丁目,node::536381550,node/536381550,T24,Q1041967,Osaka Metro,,stop,stop_position,34.6751043,135.5170953
merge::wikidata::Q1041967,wikidata::Q1041967,Tanimachi 6-chome,谷町六丁目,node::538721576,node/538721576,N18,Q1041967,Osaka Metro,,stop,stop_position,34.6759996,135.518135
merge::wikidata::Q1041967,wikidata::Q1041967,Tanimachi 6-chome,谷町六丁目,node::7948033299,node/7948033299,N18,Q1041967,Osaka Metro,,stop,stop_position,34.676049,135.5181338
merge::wikidata::Q1041967,wikidata::Q1041967,Tanimachi 6-chome,谷町六丁目,node::8256784551,node/8256784551,T24,Q1041967,Osaka Metro,,stop,stop_position,34.6751068,135.5170408
merge::wikidata::Q1041977,wikidata::Q1041977,Tanimachi 9-chome,谷町九丁目,node::536381546,node/536381546,T25,Q1041977,Osaka Metro,,stop,stop_position,34.6670802,135.515867
merge::wikidata::Q1041977,wikidata::Q1041977,Tanimachi 9-chome,谷町九丁目,node::8256784543,node/8256784543,T25,Q1041977,Osaka Metro,,stop,stop_position,34.6670886,135.5158133
merge::wikidata::Q1042492,wikidata::Q1042492,Gamo 4-chome,蒲生四丁目,node::12508256200,node/12508256200,I18,Q1042492,Osaka Metro,,stop,stop_position,34.7009642,135.5462694
merge::wikidata::Q1042492,wikidata::Q1042492,Gamo 4-chome,蒲生四丁目,node::538721772,node/538721772,N23,Q1042492,Osaka Metro,,stop,stop_position,34.7005412,135.548485
merge::wikidata::Q1042492,wikidata::Q1042492,Gamo 4-chome,蒲生四丁目,node::538724159,node/538724159,I18,Q1042492,Osaka Metro,,stop,stop_position,34.7009652,135.5463214
merge::wikidata::Q1042492,wikidata::Q1042492,Gamo 4-chome,蒲生四丁目,node::7948033368,node/7948033368,N23,Q1042492,Osaka Metro,,stop,stop_position,34.7005788,135.5484762
merge::wikidata::Q1042508,wikidata::Q1042508,Taishibashi-Imaichi,太子橋今市,node::12508282347,node/12508282347,I14,Q1042508,Osaka Metro,,stop,stop_position,34.7312741,135.5562082
merge::wikidata::Q1042508,wikidata::Q1042508,Taishibashi-Imaichi,太子橋今市,node::538724478,node/538724478,I14,Q1042508,Osaka Metro,,stop,stop_position,34.7313068,135.5562505
merge::wikidata::Q1042508,wikidata::Q1042508,Taishibashi-Imaichi,太子橋今市,node::549722947,node/549722947,T13,Q1042508,Osaka Metro,,stop,stop_position,34.7312073,135.5547161
merge::wikidata::Q1042508,wikidata::Q1042508,Taishibashi-Imaichi,太子橋今市,node::8256784363,node/8256784363,T13,Q1042508,Osaka Metro,,stop,stop_position,34.7312416,135.5546809
merge::wikidata::Q1042837,wikidata::Q1042837,Kitahama,北浜,node::538718386,node/538718386,,Q1042837,,,stop,stop_position,34.6911743,135.5065498
merge::wikidata::Q1042837,wikidata::Q1042837,Kitahama,北浜,node::8260808114,node/8260808114,,Q1042837,,,stop,stop_position,34.6911709,135.5066098
merge::wikidata::Q1043084,wikidata::Q1043084,Temmabashi,天満橋,node::536381568,node/536381568,T22,Q1043084,Osaka Metro,,stop,stop_position,34.6897207,135.5173037
merge::wikidata::Q1043084,wikidata::Q1043084,Temmabashi,天満橋,node::8256784561,node/8256784561,T22,Q1043084,Osaka Metro,,stop,stop_position,34.68972,135.517245
merge::wikidata::Q1074425,wikidata::Q1074425,Sakaisuji-Hommachi,堺筋本町,node::537521118,node/537521118,C17,Q1074425,Osaka Metro,,stop,stop_position,34.6818551,135.5069325
merge::wikidata::Q1074425,wikidata::Q1074425,Sakaisuji-Hommachi,堺筋本町,node::538718337,node/538718337,K15,Q1074425,,,stop,stop_position,34.6826204,135.5064317
merge::wikidata::Q1074425,wikidata::Q1074425,Sakaisuji-Hommachi,堺筋本町,node::7944112736,node/7944112736,C17,Q1074425,Osaka Metro,,stop,stop_position,34.6818955,135.5069338
merge::wikidata::Q1074425,wikidata::Q1074425,Sakaisuji-Hommachi,堺筋本町,node::8260808109,node/8260808109,K15,Q1074425,,,stop,stop_position,34.6826169,135.5064858
merge::wikidata::Q1074440,wikidata::Q1074440,Shinsaibashi,心斎橋,node::538721475,node/538721475,N15,Q1074440,Osaka Metro,,stop,stop_position,34.6753372,135.4991998
merge::wikidata::Q1074440,wikidata::Q1074440,Shinsaibashi,心斎橋,node::7948009777,node/7948009777,N15,Q1074440,Osaka Metro,,stop,stop_position,34.6753751,135.4992026
merge::wikidata::Q112719,wikidata::Q112719,Nishiohashi,西大橋,node::538721479,node/538721479,N14,Q112719,Osaka Metro,,stop,stop_position,34.6754786,135.4944713
merge::wikidata::Q112719,wikidata::Q112719,Nishiohashi,西大橋,node::7948009772,node/7948009772,N14,Q112719,Osaka Metro,,stop,stop_position,34.6755169,135.4944753
merge::wikidata::Q1131017,wikidata::Q1131017,Bentencho,弁天町,node::537520788,node/537520788,C13,Q1131017,Osaka Metro,,stop,stop_position,34.6684336,135.4620861
merge::wikidata::Q1131017,wikidata::Q1131017,Bentencho,弁天町,node::7756610829,node/7756610829,C13,Q1131017,Osaka Metro,,stop,stop_position,34.6684026,135.4621007
merge::wikidata::Q1131039,wikidata::Q1131039,Tamatsukuri,玉造,node::538721634,node/538721634,N19,Q1131039,Osaka Metro,,stop,stop_position,34.6745896,135.530474
merge::wikidata::Q1131039,wikidata::Q1131039,Tamatsukuri,玉造,node::7948033312,node/7948033312,N19,Q1131039,Osaka Metro,,stop,stop_position,34.6746356,135.5304734
merge::wikidata::Q1131146,wikidata::Q1131146,Morinomiya,森ノ宮,node::537521123,node/537521123,C19,Q1131146,Osaka Metro,,stop,stop_position,34.6814583,135.5320332
merge::wikidata::Q1131146,wikidata::Q1131146,Morinomiya,森ノ宮,node::538721697,node/538721697,N20,Q1131146,Osaka Metro,,stop,stop_position,34.6821935,135.5334135
merge::wikidata::Q1131146,wikidata::Q1131146,Morinomiya,森ノ宮,node::7944112719,node/7944112719,C19,Q1131146,Osaka Metro,,stop,stop_position,34.6814987,135.5320338
merge::wikidata::Q1131146,wikidata::Q1131146,Morinomiya,森ノ宮,node::7948033332,node/7948033332,N20,Q1131146,Osaka Metro,,stop,stop_position,34.6821897,135.5333548
merge::wikidata::Q1131158,wikidata::Q1131158,Taisho,大正,node::538721423,node/538721423,N11,Q1131158,Osaka Metro,,stop,stop_position,34.665509,135.4786099
merge::wikidata::Q1131158,wikidata::Q1131158,Taisho,大正,node::7948033416,node/7948033416,N11,Q1131158,Osaka Metro,,stop,stop_position,34.6655282,135.4785502
merge::wikidata::Q1131699,wikidata::Q1131699,Midoribashi,緑橋,node::12508256182,node/12508256182,I20,Q1131699,Osaka Metro,,stop,stop_position,34.6814459,135.5445946
merge::wikidata::Q1131699,wikidata::Q1131699,Midoribashi,緑橋,node::537521131,node/537521131,C20,Q1131699,Osaka Metro,,stop,stop_position,34.6806358,135.545739
merge::wikidata::Q1131699,wikidata::Q1131699,Midoribashi,緑橋,node::538724124,node/538724124,I20,Q1131699,Osaka Metro,,stop,stop_position,34.6814409,135.5446355
merge::wikidata::Q1131699,wikidata::Q1131699,Midoribashi,緑橋,node::7944112708,node/7944112708,C20,Q1131699,Osaka Metro,,stop,stop_position,34.6806757,135.5457466
merge::wikidata::Q1131709,wikidata::Q1131709,Tanimachi 4-chome,谷町四丁目,node::536381552,node/536381552,T23,Q1131709,Osaka Metro,,stop,stop_position,34.6823572,135.5173427
merge::wikidata::Q1131709,wikidata::Q1131709,Tanimachi 4-chome,谷町四丁目,node::537521116,node/537521116,C18,Q1131709,,,stop,stop_position,34.6814302,135.517465
merge::wikidata::Q1131709,wikidata::Q1131709,Tanimachi 4-chome,谷町四丁目,node::7944112730,node/7944112730,C18,Q1131709,,,stop,stop_position,34.6814704,135.5174698
merge::wikidata::Q1131709,wikidata::Q1131709,Tanimachi 4-chome,谷町四丁目,node::8256784555,node/8256784555,T23,Q1131709,Osaka Metro,,stop,stop_position,34.6823578,135.5172881
merge::wikidata::Q1131721,wikidata::Q1131721,Yodoyabashi,淀屋橋,node::5732164218,node/5732164218,M17,Q1131721,Osaka Metro,,stop,stop_position,34.6916363,135.5009259
merge::wikidata::Q1131721,wikidata::Q1131721,Yodoyabashi,淀屋橋,node::7811945063,node/7811945063,M17,Q1131721,Osaka Metro,,stop,stop_position,34.6916379,135.5009817
merge::wikidata::Q1132328,wikidata::Q1132328,Tennoji,天王寺,node::536381139,node/536381139,T27,Q1132328,Osaka Metro,,stop,stop_position,34.6494263,135.5135657
